基金代码,基金名称,1月(%) (总回报率),3月(%) (总回报率),6月(%) (总回报率),1年(%) (年化回报率),2年(%) (年化回报率),今年以来(%) (总回报率),设立以来(%)(总回报率),类型
000252,景顺长城景兴信用纯债债券A,0.77,1.56,2.75,2.03,0.77,2.11,30.6,债券型
020012,国泰金龙债券C,1,1.71,-1.36,-0.39,0.22,0.1,59.95,债券型
510080,长盛全债指数增强,-1.04,-0.84,-1.2,-2.59,-0.26,-2.24,217.78,债券型
000416,大摩华鑫纯债稳定添利18个月定期开放债券C,0.93,3.21,3.21,6.25,4.01,6.06,30.21,债券型
002816,招商招益两年定期开放债券C,0.47,1.41,2.38,4.87,0,5.38,7.7,债券型
128112,国投瑞银优化增强债券C,0.14,-0.21,1.75,5.75,4.52,6.55,74.35,债券型
005069,长信富民纯债一年定期开放债券A,0.79,-0.86,-1.69,0.88,0,1.12,-0.01,债券型
000769,长城久盈纯债分级债券A,0.26,0.76,1.58,3.01,3.08,2.49,15.53,债券型
006015,华安信用四季红债券C,0.09,0.57,0,0,0,1.63,1.73,债券型
270044,广发双债添利债券A,0.83,1.66,3.38,5.83,3.44,5.66,34.4,债券型
000112,易方达纯债1年定期开放债券C,0.87,2.26,2.64,5.33,3.31,5.33,31.57,债券型
000617,上投摩根优信增利债券C,0.08,-1.06,-1.65,-2.75,-3.51,-2.75,30.9,债券型
519078,汇添富增强收益债券A,0.59,1.01,1.18,2.26,0.56,2.34,68.22,债券型
000355,南方丰元信用增强债券A,0.87,2.2,3.19,5.73,0.61,7.19,34.04,债券型
470078,汇添富增强收益债券C,0.52,0.95,1.04,1.97,0.2,2.06,48.98,债券型
002702,东方红汇阳债券C,-1.52,-1.45,-0.49,2.21,2.93,2.82,9.58,债券型
000077,工银信用纯债一年定期开放债券C,1.18,2.39,4.1,6.52,3.01,7.78,37.2,债券型
290003,泰信双息双利债券,0.05,0.39,1.5,2.3,1.39,2.46,55.82,债券型
202107,南方广利回报债券C,-3.71,-5.76,-6.49,-8.64,-6.02,-6.93,37.6,债券型
161716,招商双债增强债券(LOF),0.68,1.72,3.69,6.5,4.14,6.59,18,债券型
253030,国联安信心增益债券,0.51,0.79,2.1,4.04,1.63,3.47,19.64,债券型
550004,信诚三得益债券A,0.45,0.45,2.03,3.85,3.09,4.25,70.9,债券型
180026,银华信用双利债券C,-1.14,-1.74,-2.42,-4.16,-1.09,-3.5,41.23,债券型
000489,光大保德信岁末红利纯债债券A,-0.3,0.15,1.61,4.14,1.83,4.25,19.01,债券型
003640,兴业裕丰债券,0.52,1.14,4.14,6.74,0,6.77,8.98,债券型
161221,国投瑞银双债增利债券(LOF)C,0.27,0.72,2.49,5.9,2.87,6.3,52.82,债券型
002520,招商招瑞纯债债券C,0.99,1.91,5.26,7.8,4.79,8.53,12.11,债券型
002361,富兰克林国海恒瑞债券A,-0.45,0.55,0.82,1.03,3.4,1.29,13.96,债券型
000937,华商稳固添利债券A,2.04,1.92,2.17,-21.61,-11.34,-21.02,-15.1,债券型
005068,长信富海纯债一年定期开放债券A,0.97,1.01,1.96,4.15,0,4.54,4.47,债券型
006057,鹏华丰和债券(LOF)C,-1.4,0.1,0,0,0,-1.6,-9.38,债券型
372010,上投摩根强化回报债券A,-0.47,-0.71,-0.71,-3.3,-1.36,-3,32.36,债券型
002652,东方红汇利债券C,-1.51,-1.18,-0.27,2.15,2.73,2.74,8.61,债券型
002986,泰康丰盈债券,-1.31,-1.76,0.04,3.55,2.95,3.08,6.59,债券型
151002,银河收益债券,-0.17,0.09,-0.15,-0.06,0.74,1.05,348.91,债券型
005578,交银施罗德丰晟收益债券C,1.52,3.9,0,0,0,5.08,5.08,债券型
004586,鹏扬汇利债券C,-0.59,0.25,2.06,3.97,0,4.21,5.29,债券型
202108,南方润元纯债债券A/B,0.73,1.72,2.64,4.45,-0.6,5.06,28.04,债券型
000277,博时双月薪定期支付债券,1,1.5,2.82,5.22,2.27,6.54,54.2,债券型
000388,泰达宏利瑞利分级债券B,0.42,1.16,-2.13,-3.67,-1.66,0.63,28.41,债券型
160618,鹏华丰泽债券(LOF),0.91,1.92,3.82,6.45,4.18,6.45,22.2,债券型
040045,华安信用增强债券,-3.63,-4.66,-7.3,-9.7,-4.12,-9.75,28.72,债券型
395001,中海稳健收益债券,0.48,0.58,1.86,3.17,-0.1,3.69,76.94,债券型
450019,富兰克林国海恒久信用债券C,0.52,0.76,0,2.66,1.64,2.92,32.32,债券型
005246,国泰可转债债券,-4.63,-6.29,-7.12,0,0,-10.41,-10.41,债券型
000345,鹏华丰融定期开放债券,2.11,3.98,7.01,12.14,6.78,11.22,44.46,债券型
000109,富国稳健增强债券C,-0.09,0.09,1.63,2.8,2.01,2.8,7.81,债券型
001946,东方红信用债债券C,0,0.38,0.96,4.35,1.7,4.77,9.67,债券型
003511,长盛可转债债券C,-3.03,-4.1,-7.17,-9.76,0,-5.19,-3.29,债券型
519682,交银增利债券C,0.94,1.7,3.25,5.27,0.84,6.38,75.29,债券型
000005,嘉实增强信用定期开放债券,0.88,1.36,3.66,6.65,3.85,6.62,29.99,债券型
000810,富国收益增强债券A,-3.5,-3.02,-1.56,0.48,1.59,-0.26,28.07,债券型
000119,广发聚鑫债券C,-4.27,-6.54,-8.7,-6.61,-3.68,-4.98,57.11,债券型
610003,信达澳银稳定价值债券A,0.36,0.81,2.37,4.23,0.6,5.38,63.44,债券型
000025,大摩华鑫双利增强债券C,0.63,1.55,2.2,4.61,2.41,4.51,39.18,债券型
519784,交银施罗德境尚收益债券A,0.41,2.06,3.04,5.88,0,6.85,7.69,债券型
003065,光大保德信尊富18个月定期开放债券A,0.5,1.45,-4.03,-1.67,0,-1.14,-1.49,债券型
004941,中加聚鑫纯债一年定期开放债券C,0.11,1.2,1.93,4.47,0,4.09,4.89,债券型
164206,天弘添利债券(LOF),0.36,1.1,2.13,4.44,2.78,4.74,10.5,债券型
004333,金鹰元盛债券(LOF)E,0.32,1.36,4.64,5.6,0,7.76,16.93,债券型
070020,嘉实稳固收益债券,-0.91,-0.73,0.28,0.68,3.29,1.5,46.65,债券型
002661,兴业天禧债券,0.86,1.45,3.55,6.06,1.31,6.92,5,债券型
000839,上投摩根纯债丰利债券A,0.7,-1.18,-0.2,2.19,-0.44,2.08,10.84,债券型
003564,博时安诚18个月定期开放债券A,0.58,1.56,3.06,3.78,0,4.82,4.3,债券型
001862,东方红收益增强债券A,-2.85,-4.31,-6.65,-5.73,-1.16,-4.6,2.97,债券型
000361,信诚年年有余定期开放债券B,1.76,0.82,-0.18,-3.17,-1.98,-1.79,22.59,债券型
165807,东吴鼎利债券(LOF),3.87,-7.02,-5.43,-10.82,-4.75,-10.9,-6,债券型
110007,易方达稳健收益债券A,-1.95,-1.66,-2.14,-0.74,1.21,-0.3,133.97,债券型
050128,博时安心收益定期开放债券C,1.3,-0.96,0.32,2.42,-0.33,3.33,33.21,债券型
001137,国投瑞银岁丰利债券A,0.76,0,0,0,0,1.24,1.24,债券型
630109,华商稳定增利债券C,-0.9,-2.73,-0.98,-3.44,2.41,-3.19,52.18,债券型
531009,建信收益增强债券C,-1.12,-1.45,-2.22,-4.47,-0.73,-3.42,66.79,债券型
450005,国富强化收益债券A,-0.25,0.02,0.47,1.53,1.22,1.93,73.44,债券型
000298,中海纯债债券A,0.96,1.16,2.95,4.49,-0.66,4.59,19.31,债券型
660009,农银汇理增强收益债券A,-0.03,0.33,1.28,3.17,1.36,3.77,59.93,债券型
080003,长盛积极配置债券,-0.52,-0.84,-0.67,-1.69,1.45,-1.68,72.04,债券型
090008,大成强化收益定期开放债券,-0.85,-0.76,-2.58,-4.25,-2.15,-3.3,-6.93,债券型
163825,中银互利半年定期开放债券,1.14,2.95,-0.04,0,0,3.39,3.18,债券型
006091,前海开源鼎康债券C,0.58,0,0,0,0,0.58,0.58,债券型
050023,博时天颐债券A,0.33,0.08,0.9,6.32,4.52,6.41,49.95,债券型
000510,诺安永鑫收益一年定期开放债券,0.8,1.4,2.7,4.44,0.83,5.07,22.4,债券型
070026,嘉实信用债券C,0.53,1.52,2.61,3.83,0.94,4.98,42.66,债券型
370021,上投摩根分红添利债券A,-0.19,-0.09,0.65,2.75,0.57,3.24,42.2,债券型
000944,工银中高等级信用债债券B,0.88,1.23,2.61,5.57,0.95,6.1,5.89,债券型
161119,易方达中债新综合债券指数(LOF)A,0.93,1.81,3.16,5.67,3.01,5.93,31.26,债券型
003092,华商丰利增强定期开放债券A,-1.76,-3.03,-5.79,-10.59,-5.58,-9.32,-10.5,债券型
000437,融通月月添利定期开放债券A,0.48,1.37,2.77,5.49,-0.46,5.6,18.09,债券型
002554,信达澳银纯债债券,2.01,-2.78,-1.94,0,-0.44,-0.3,1.3,债券型
000426,大成信用增利一年定期开放债券A,0.09,0.73,-0.18,1.57,1.4,1.29,30.26,债券型
006077,创金合信恒利超短债债券C,0.53,0,0,0,0,1.41,1.41,债券型
519942,长信富泰纯债一年定期开放债券C,1.28,0.81,0.53,4.42,1.38,3.46,5.56,债券型
003669,东方红益鑫纯债债券C,0.63,1.34,3.09,5.29,0,5.64,8.08,债券型
519937,长信先锐债券,-1.1,-1.09,-0.69,-0.12,-1.68,0.23,-1.56,债券型
002475,中邮睿利增强债券,0.1,0.1,1.41,-0.49,0,1.72,0.7,债券型
160718,嘉实多利分级债券,-1.07,-2.09,-2.49,-2.71,0.07,-2.45,33.83,债券型
519785,交银施罗德境尚收益债券C,0.36,1.9,2.71,5.25,0,6.33,6.62,债券型
003265,招商招坤纯债债券A,0.48,1.5,2.94,5.54,3.62,6.11,7.43,债券型
002255,长信金葵纯债一年定期开放债券C,1.28,2.92,3.4,5.91,2.86,6.38,11.1,债券型
000267,广发集利一年定期开放债券A,0.82,1.66,3.36,5.7,2.46,5.6,48.77,债券型
000481,华商双债丰利债券C,-0.23,0.23,-26.58,-32.8,-17.14,-32.23,16.88,债券型
004626,南方高元债券C,0.65,1.01,1.57,3.86,0,4.97,6.21,债券型
002965,中海合嘉增强收益债券A,-4.44,-5.65,-6.45,-7.16,-3.41,-6.54,-6.48,债券型
470011,汇添富多元收益债券C,-2.48,-3.39,-1.39,-0.8,0.54,-0.72,57.28,债券型
000129,大成景安短融债券B,0.28,0.76,2.01,4.77,4.58,4.39,33.12,债券型
253061,国联安信心增长债券B,0.15,-0.15,-0.51,0.58,-1.03,0.64,14.86,债券型
160123,南方中债10年期国债指数A,0.96,0.73,2.15,5.43,0.19,4.69,0.87,债券型
000197,富国目标收益一年期纯债债券型,0.87,1.23,2.59,5.2,3.48,5.41,32.78,债券型
003458,嘉实稳宏债券A,-1.92,-2.37,-5.99,-8.74,0,-6.59,-5.85,债券型
485111,工银瑞信双利债券A,1.16,1.49,3.97,7,2.96,8.07,83.4,债券型
001920,景顺长城景颐宏利债券A,-0.46,-0.28,1.31,0.19,1.61,0.09,7.9,债券型
164208,天弘丰利债券(LOF),0.68,1.57,2.46,4.99,3.01,4.73,20.24,债券型
050123,博时天颐债券C,0.25,0,0.68,5.86,4.09,5.95,44.63,债券型
582002,东吴增利债券A,0.45,0.64,2.12,4.33,4.27,3.84,49.49,债券型
660002,农银恒久增利债券A,0.98,1.38,2.39,4.08,1.86,4.32,72.26,债券型
001087,华富恒利债券C,-2.33,-4.28,-4.28,-4.82,-1.41,-4.55,0.7,债券型
004035,博时弘康18个月定期开放债券C,-0.82,-0.9,-1.88,0.24,0,1,4.13,债券型
180015,银华增强收益债券,-0.62,-0.62,-0.79,-2,-0.13,-1.59,74.34,债券型
004803,益民信用增利纯债一年定期开放债券A,0.62,3.91,3.64,5.16,0,5.24,4.81,债券型
000289,鹏华丰泰定期开放债券A,0.92,0.97,1.66,3.64,-0.11,3.21,37.55,债券型
050106,博时稳定价值债券A,1.13,1.61,2.02,3.48,0.97,5.06,103.71,债券型
004952,兴全恒益债券A,-1.82,-2.35,-2.04,-0.08,0,0.05,0.27,债券型
000469,富国目标齐利一年期纯债债券,-0.18,1.11,2.25,5.22,3.22,5.42,23.74,债券型
004101,国泰民安增益纯债债券A,0.3,0,0,0,0,0.5,0.5,债券型
519985,长信纯债壹号债券A,0.88,0.87,1.76,4.41,1.88,4.31,29.07,债券型
002864,广发安泽回报纯债债券A,0.4,1.08,2.44,4.94,4.04,4.41,9.01,债券型
070005,嘉实债券,0.56,1.13,3.05,5.78,2.87,6.04,174.59,债券型
288102,华夏稳定双利债券C,-0.37,-0.2,0.08,0.32,-0.57,1.42,126.86,债券型
005946,工银瑞信可转债优选债券C,-0.24,-0.65,0,0,0,-0.69,-0.68,债券型
121013,国投瑞银纯债债券A,-3.58,-2.59,-1.59,1.49,1.76,1.59,25.41,债券型
000318,中海惠利纯债分级债券B,0.1,0.38,1.76,5.7,-5,-0.93,25.32,债券型
000047,华夏双债增强债券A,-1.94,-1.28,-0.68,-0.17,-0.34,-0.34,39.32,债券型
163907,中海惠裕纯债债券型发起式(LOF),0.09,0.55,1.59,3.62,2.28,3.82,8.69,债券型
519024,海富通稳健添利债券A,1.01,1.53,3.26,5.49,2.94,4.99,45.14,债券型
110028,易方达安心回报债券B,-2.64,-3.27,-4.89,-8.2,0.4,-6.69,146.91,债券型
020019,国泰双利债券A,0.29,0.15,-0.94,-0.22,1.83,0.66,75.37,债券型
000138,民生加银岁岁增利定期开放债券C,1.26,2.63,3.58,5.93,3.07,6.33,37.76,债券型
000194,银华信用四季红债券,0.76,1.23,2.89,5.75,2.36,6.27,44.66,债券型
161019,富国新天锋定期开放债券,0.6,1.3,1.2,1.1,0.8,1.5,46.9,债券型
000377,上投摩根双债增利债券A,-1,-2.07,-2.55,-3.02,-3.7,-1.49,41.81,债券型
000192,富国信用债债券C,0.98,1.77,3.39,5.77,2.45,6.09,31.35,债券型
000998,南方双元债券C,1.06,2.04,1.45,2.14,-1.58,3.76,7.46,债券型
690006,民生加银信用双利债券A,-1.85,-3.76,-7.18,-9.29,-5.44,-7.42,47.62,债券型
000207,建信双债增强债券A,-3.07,-3.97,-5.18,-8.97,-5.94,-6.27,14.72,债券型
160608,鹏华普天债券B,0.92,2.02,3.15,5.49,1.53,5.76,92.21,债券型
160134,南方聚利1年定期开放债券(LOF)C,0.58,0.87,2.44,5.17,1.85,5.27,21.06,债券型
000291,鹏华普悦债券,-1.87,-3.12,0,0,0,-5.95,-5.68,债券型
165311,建信信用增强债券(LOF)A,-2.75,-3.5,-4.91,-7.6,-4.58,-2.9,42.99,债券型
217008,招商安本增利债券,-2.91,-5.91,-8.9,-11.41,-6.34,-11.4,102.81,债券型
004667,招商招财通理财债券型A,0,0,0,0,0,0.05,0.05,债券型
005284,华商可转债债券C,-4.1,-6.52,-8.05,0,0,-10.37,-10.29,债券型
004034,博时弘康18个月定期开放债券A,-0.83,-0.84,-1.73,0.59,0,1.29,4.75,债券型
519953,长信富海纯债一年定期开放债券C,0.93,0.9,1.74,3.72,1.43,4.19,11.1,债券型
002764,大成景华一年定期开放债券C,-0.29,-0.39,-0.39,2.18,0.29,1.88,2.9,债券型
217022,招商产业债券A,0.74,2.04,3.84,6.79,4.67,7.3,69.48,债券型
002356,博时安泰18个月定期开放债券A,1.14,2.31,2.9,5.35,1.03,6.51,7.88,债券型
004255,民生加银汇鑫一年定期开放债券C,0.42,1.69,2.74,5.19,0,4.94,7.48,债券型
005782,创金合信汇益纯债一年定期开放债券A,1.67,3.76,0,0,0,3.32,3.32,债券型
519680,交银增利债券A/B,0.96,1.79,3.45,5.7,1.26,6.75,83.48,债券型
005185,国泰招惠收益定期开放债券,0.92,2.25,3.35,0,0,5.65,5.65,债券型
270030,广发聚财信用债券B,0.82,1.57,2.94,4.91,1.33,5,54.68,债券型
003401,工银瑞信可转债债券,-2.83,-4.15,-7.33,-9.02,0,-6.43,-5.52,债券型
166010,中欧鼎利债券,-0.39,-0.89,-0.23,1.19,0,1.2,2,债券型
519118,浦银安盛幸福回报定期开放债券A,1.07,1.46,1.76,4.12,1.58,4.02,40.78,债券型
004625,南方高元债券A,0.73,1.16,1.82,4.22,0,5.34,6.58,债券型
002478,中欧天添18个月定期开放债券A,1.46,-0.67,-0.76,1.17,1.17,1.76,6.45,债券型
020033,国泰民安增利债券型发起式A,0.1,0.25,0.41,1.86,1.89,2.28,48.31,债券型
001001,华夏债券A/B,0.1,0.38,0.76,1.83,0.06,2.52,129.51,债券型
519725,交银施罗德双轮动债券C,0.94,1.51,3.73,6.54,3.47,6.44,28.75,债券型
519051,海富通一年定期开放债券A,1.02,2.44,3.29,5.77,-0.3,5.17,84.89,债券型
002859,长信富平纯债一年定期开放债券C,0.81,0.75,0.89,3.4,1.06,3.68,4.21,债券型
519189,万家信用恒利债券C,0.85,1.17,3.12,4.23,1.59,4.35,29.37,债券型
519945,长信富安纯债一年定期开放债券A,1.27,2.49,2.21,5.63,3.01,5.43,14.06,债券型
040036,华安安心收益债券A,-3,-3.27,-5.79,-1.72,0.32,-1.26,54.02,债券型
160915,大成景丰债券(LOF),-1.72,-1.63,-3.39,-3.9,-2.57,-3.48,58.82,债券型
006340,国泰民安增益纯债债券C,0.26,0,0,0,0,0.33,-0.37,债券型
000737,诺安聚利债券C,0.89,1.25,2.73,6.3,2.65,6.3,19.18,债券型
519124,浦银安盛季季添利定期开放债券C,0.46,1.47,0.31,2.1,1.44,2.5,31.1,债券型
163812,中银双利债券B,-1.29,-2.05,-2.96,-3.84,-2.16,-2.25,42.92,债券型
000185,工银瑞信添福债券B,-1.88,0.5,0.19,-2.48,-1.69,-1.04,61.5,债券型
519660,银河增利债券型发起式A,-0.24,-0.36,0.18,1.66,1.58,2.61,64.9,债券型
470089,汇添富6月红添利定期开放债券C,-2.34,-2.75,-0.44,-0.43,1.1,-0.14,7.65,债券型
004572,万家家瑞债券C,-1.64,-2.63,-2.04,-1.72,0,-1.58,-1.35,债券型
380005,中银纯债债券A,0.86,1.14,3.27,6.4,2.98,6.4,32.45,债券型
000122,汇添富实业债债券A,0.09,0.18,-0.99,0.36,-0.17,1.01,40.57,债券型
000240,华安年年盈定期开放债券C,0.53,2.46,4.15,3.72,-0.76,5.23,7.73,债券型
161120,易方达中债新综合债券指数(LOF)C,0.89,1.72,3,5.32,2.66,5.63,29.17,债券型
519129,浦银安盛月月盈定期支付债券C,0.45,1.08,1.63,2.84,0.04,3.03,12.3,债券型
000890,上投摩根纯债添利债券C,0,-0.19,0,1.68,0.84,1.78,7.37,债券型
240003,华宝宝康债券,0.59,1.27,3.31,6,3.18,5.63,153.32,债券型
519973,长信纯债一年定期开放债券A,1.39,2.54,2.1,5.53,2.81,5.28,42.53,债券型
090002,大成债券A/B,0.3,0.99,3.77,7.63,3.87,8.82,187.39,债券型
160602,鹏华普天债券A,0.97,2.13,3.31,5.76,1.86,5.94,125.13,债券型
519519,华泰柏瑞稳本增利债券A,0.68,0.91,2.39,5.62,3.04,5.6,55.97,债券型
000139,富国国有企业债债券A/B,0.53,1.14,2.61,5.08,3.28,4.77,31.55,债券型
000032,易方达信用债债券A,1.16,1.47,3.47,6.15,2.9,6.49,31.2,债券型
217203,招商安泰债券B,0.6,1.38,3.3,6.09,2.35,6.08,106.39,债券型
000296,鹏华丰实定期开放债券B,0.85,0.94,1.52,3.18,-0.09,3.18,33.28,债券型
003239,博时安祺一年定期开放债券A,0.39,0.79,1.59,4.08,0.89,4.62,2,债券型
610103,信达澳银稳定价值债券B,0.28,0.56,2.08,3.63,0.06,4.92,56.48,债券型
395012,中海增强收益债券C,-2.09,-2.88,-4.17,-5.02,-2.8,-4.68,23.37,债券型
003222,新华丰利债券C,-0.93,-0.21,-0.87,-1.31,2.12,-0.43,4.3,债券型
000181,景顺长城四季金利债券A,0.26,0.51,2.09,0.43,1.43,0.6,9.61,债券型
360013,光大保德信信用添益债券A,0.19,0.38,1.82,3.4,1.89,4,45.36,债券型
003459,嘉实稳宏债券C,-1.94,-2.46,-6.16,-9.07,0,-6.86,-6.35,债券型
002405,光大保德信中高等级债券A,0.44,0.51,-3.65,-1.83,0,-1.27,-1.28,债券型
530021,建信纯债债券A,0.77,1.32,3.56,7.04,3.8,7.04,30.8,债券型
003358,易方达中债7-10年期国开行债券指数,1.46,1.81,4.78,6.59,-0.04,8.37,-0.07,债券型
519718,交银纯债债券A/B,1.41,2.27,4.35,7.04,1.71,7.58,26.8,债券型
519666,银河银信添利债券B,0.45,0.84,2.06,3.46,1.85,3.98,83.13,债券型
000069,国投瑞银中高等级债券A,0,0.46,1.95,4.98,2.34,4.88,37.62,债券型
000782,国投瑞银岁增利一年期定期开放债券C,0.47,0.67,0.95,4.13,2.19,4.13,19.5,债券型
100035,富国优化增强债券A/B,-1.32,-2.36,-1.07,-2.54,0.58,-2.96,67.12,债券型
002969,易方达丰和债券,-1.95,-2.63,-0.74,1.59,0,0.56,10.95,债券型
003419,中欧弘安一年定期开放债券,0.59,1.84,2.78,4.4,0,4.76,6.45,债券型
128013,国投瑞银纯债债券B,-3.39,-2.4,-1.31,1.94,2.11,1.94,27.12,债券型
380006,中银纯债债券C,0.76,1.05,2.99,5.9,2.53,6.01,29.43,债券型
000048,华夏双债增强债券C,-1.97,-1.38,-0.86,-0.43,-0.6,-0.69,37.23,债券型
000245,天弘稳利定期开放债券B,1.54,1.91,3.69,5.94,2.31,6.24,36.16,债券型
000147,易方达高等级信用债债券A,1.16,1.74,3.29,6.33,2.63,6.42,30.56,债券型
161911,万家强化收益定期开放债券,1.04,2.47,3.85,6.57,4.23,6.59,42.6,债券型
001138,国投瑞银岁丰利债券C,0.76,0,0,0,0,1.25,1.25,债券型
162715,广发聚源债券(LOF)A,0.44,1.15,2.69,5.14,2.3,4.56,23.59,债券型
519731,交银定期支付月月丰债券C,0.23,-1.48,-1.62,-1.91,-1.21,-2.13,33.5,债券型
000201,诺安泰鑫一年定期开放债券A,0.86,1.34,2.72,6.04,1.54,6.04,30.38,债券型
166008,中欧增强回报债券(LOF)A,0.74,1.55,3.25,5.98,2.66,5.58,59.52,债券型
001031,华夏安康信用优选债券A,0,0.24,0.95,2.25,3.64,1.51,45.49,债券型
004504,鹏华永泽18个月定期开放债券,1.05,2.34,3.32,0,0,5.33,5.33,债券型
003672,兴业裕华债券,0.54,1.69,3.16,6.06,0,5.81,9.81,债券型
160622,鹏华丰利债券(LOF),0.68,1.48,3.1,3.83,1.14,5.53,7.1,债券型
000427,大成信用增利一年定期开放债券C,0.09,0.65,-0.37,1.22,0.89,0.93,27.45,债券型
070009,嘉实超短债债券,0.33,0.79,2.49,6.25,4.26,4.71,54.51,债券型
253021,国联安德盛增利债券B,0.75,0.08,0.75,-7.47,-4.86,0.59,48.39,债券型
160124,南方中债10年期国债指数C,0.92,0.64,1.96,5.06,-0.14,4.39,0.13,债券型
050116,博时宏观回报债券C,0.52,0.09,1.22,4.58,1.69,4.76,24.19,债券型
217018,招商安瑞进取债券,-3.41,-4.83,-6.43,-7.02,-2.99,-6.91,61.6,债券型
372110,上投摩根强化回报债券B,-0.57,-0.81,-0.89,-3.61,-1.74,-3.31,28.56,债券型
261002,景顺长城优信增利债券A,-0.36,0.14,1.09,0.07,1.39,0.29,40.42,债券型
460008,华泰柏瑞稳健收益债券A,0.71,0.88,2.68,9.2,3.13,6.77,39.12,债券型
002188,鹏华丰华债券,0.32,0.59,1.66,3.59,2.15,3.45,7.41,债券型
003613,南方卓元债券C,0.64,0.92,0.86,2.76,0,2.83,6.33,债券型
000938,华商稳固添利债券C,2.08,1.83,1.95,-21.89,-11.74,-21.3,-16.5,债券型
002355,国投瑞银岁赢利一年期定期开放债券,-0.38,-1.61,-2.35,-1.14,1.32,-0.57,5.44,债券型
000087,嘉实中证金边中期国债ETF联接A,0.11,-0.28,0.04,1.75,-2.32,1.74,6.43,债券型
002479,中欧天添18个月定期开放债券C,1.48,-0.77,-0.96,0.68,0.74,1.38,5.23,债券型
000490,光大保德信岁末红利纯债债券C,-0.35,0.06,1.43,3.76,1.35,3.93,16.84,债券型
630007,华商稳健双利债券A,-0.5,-2.78,-0.85,-7.16,-0.85,-7.16,47.92,债券型
519675,银河泰利纯债债券A,0.55,0,0,0,0,0.88,0.88,债券型
002357,博时安泰18个月定期开放债券C,1.06,2.13,2.53,4.67,0.4,6.04,6.04,债券型
005783,创金合信汇益纯债一年定期开放债券C,1.64,3.68,0,0,0,3.22,3.22,债券型
001949,建信稳定丰利债券C,0,0.28,1.8,4.36,2.96,4.46,7.7,债券型
165509,信诚增强收益债券(LOF),0.18,-0.09,1.09,3.2,1.34,2.18,70.54,债券型
485107,工银添利债券A,0.16,0.79,2.22,3.97,-3.41,6.92,90.51,债券型
100072,富国强回报定期开放债券A,0.91,2.12,3.29,6.56,2.77,7.43,48.62,债券型
164810,工银纯债定期开放债券,0.79,0.69,1.49,3.23,-0.63,3.44,29.49,债券型
000561,南方启元债券A类,0.62,2.25,4.03,5.19,1.07,7.07,16.95,债券型
371120,上投摩根纯债债券B,0.36,0.29,1.08,2.78,1.53,2.7,40.6,债券型
000396,汇添富安心中国债券C,0.66,0.91,4.98,6.44,2.59,6.63,22.3,债券型
233012,大摩华鑫多元收益债券A,1.06,1.72,1.36,2.08,1.46,3.88,71.4,债券型
000221,汇添富年年利定期开放债券A,0.6,-0.34,-2.24,-2.08,-0.65,-1.58,22.99,债券型
420102,天弘永利债券B,0.33,0.39,-3.16,-1.75,-0.4,-1.61,64.27,债券型
001257,兴业收益增强债券A,-2.17,-3.18,-2.59,-2.25,0.99,-1.31,12.8,债券型
202103,南方多利增强债券A,0.84,1.62,2.38,4.45,1.23,4.8,65.08,债券型
000346,建信安心回报两年定期开放债券A,0.59,1.18,3.4,6.48,4.67,6.28,32.75,债券型
002474,中邮睿信增强债券,0.19,0.66,2.31,3.7,3.04,2.8,6.5,债券型
