city,citycode
锦州,210700
铁岭,211200
丹东,210600
营口,210800
抚顺,210400
本溪,210500
辽阳,211000
大连,210200
菏泽,371700
枣庄,370400
济南,370100
日照,371100
泰安,370900
济宁,370800
聊城,371500
临沂,371300
滨州,371600
德州,371400
莱芜,371200
潍坊,370700
淄博,370300
青岛,370200
东营,370500
烟台,370600
威海,371000
天津,120000
日喀则,540200
昌都,540300
那曲,542400
拉萨,540100
山南,540500
林芝,540400
阿里地区,542500
喀什地区,653100
伊犁哈萨克自治州,654000
乌鲁木齐,650100
阿克苏地区,652900
昌吉回族自治州,652300
阿拉尔,659002
巴音郭楞蒙古自治州,652800
克拉玛依,650200
五家渠,659004
图木舒克,659003
克孜勒苏柯尔克孜自治州,653000
可克达拉,659008
塔城地区,654200
阿勒泰地区,654300
哈密,650500
昭通,530600
曲靖,530300
文山壮族苗族自治州,532600
丽江,530700
昆明,530100
普洱,530800
楚雄彝族自治州,532300
红河哈尼族彝族自治州,532500
保山,530500
临沧,530900
玉溪,530400
迪庆藏族自治州,533400
大理白族自治州,532900
怒江傈僳族自治州,533300
西双版纳傣族自治州,532800
揭阳,445200
茂名,440900
河源,441600
清远,441800
广州,440100
云浮,445300
梅州,441400
肇庆,441200
韶关,440200
惠州,441300
阳江,441700
江门,440700
潮州,445100
汕尾,441500
佛山,440600
汕头,440500
湛江,440800
上海,310000
绍兴,330600
金华,330700
杭州,330100
丽水,331100
衢州,330800
温州,330300
湖州,330500
嘉兴,330400
台州,331000
宁波,330200
舟山,330900
澳门,820000
香港,810000
海口,460100
五指山,469001
文昌,469005
临高县,469024
儋州,460400
东方,469007
乐东黎族自治县,469027
三亚,460200
三沙,460300
七台河,230900
白城,220800
和田地区,653200
吐鲁番,650400
吴忠,640300
开封,410200
昆玉,659009
铁门关,659006
石河子,659001
沈阳,210100
万宁,469006
保亭黎族苗族自治县,469029
陵水黎族自治县,469028
台北,710100
高雄,710200
桃园,710600
台中,710400
新北,710300
台南,710500
澎湖县,719014
屏东县,719011
台东县,719012
花莲县,719013
南投县,719009
宜兰县,719005
新竹县,719004
彰化县,719007
苗栗县,719006
云林县,719008
嘉义县,719010
基隆,719001
新竹,719002
嘉义,719003
深圳,440300
东莞,441900
盘锦,211100
珠海,440400
中山,442000
苏州,320500
屯昌县,469022
琼中黎族苗族自治县,469030
琼海,469002
定安县,469021
澄迈县,469023
昌江黎族自治县,469026
白沙黎族自治县,469025
大兴安岭地区,232700
益阳,430900
郴州,431000
常德,430700
永州,431100
济源,419001
天门,429006
松原,220700
博尔塔拉蒙古自治州,652700
双河,659007
北屯,659005
德宏傣族景颇族自治州,533100
